algorithm,threads,hashbits,buckets,data_size,duration,cores,memory
concurrent-output,8,2,4,16777216,1386,32,79001354240
concurrent-output,16,2,4,16777216,1194,32,78905077760
concurrent-output,32,2,4,16777216,642,32,78770528256
concurrent-output,1,3,8,16777216,3466,32,78681190400
concurrent-output,2,3,8,16777216,3558,32,78860976128
concurrent-output,4,3,8,16777216,1676,32,78726795264
concurrent-output,8,3,8,16777216,1065,32,78784704512
concurrent-output,16,3,8,16777216,982,32,78758060032
concurrent-output,32,3,8,16777216,621,32,78401409024
concurrent-output,1,4,16,16777216,3465,32,78359736320
concurrent-output,2,4,16,16777216,3091,32,78540603392
concurrent-output,4,4,16,16777216,1693,32,78544363520
concurrent-output,8,4,16,16777216,1291,32,78680961024
concurrent-output,16,4,16,16777216,917,32,78635782144
concurrent-output,32,4,16,16777216,628,32,78574780416
concurrent-output,1,5,32,16777216,3492,32,78330662912
concurrent-output,2,5,32,16777216,2893,32,78533431296
concurrent-output,4,5,32,16777216,1807,32,78730268672
concurrent-output,8,5,32,16777216,1130,32,78690660352
concurrent-output,16,5,32,16777216,783,32,78963245056
concurrent-output,32,5,32,16777216,599,32,78887260160
concurrent-output,1,6,64,16777216,3579,32,78786084864
concurrent-output,2,6,64,16777216,2727,32,78920515584
concurrent-output,4,6,64,16777216,1613,32,78911500288
concurrent-output,8,6,64,16777216,958,32,79175385088
concurrent-output,16,6,64,16777216,535,32,79108960256
concurrent-output,32,6,64,16777216,485,32,79145308160
concurrent-output,1,7,128,16777216,3588,32,79070531584
concurrent-output,2,7,128,16777216,2480,32,79217790976
concurrent-output,4,7,128,16777216,1583,32,79113400320
concurrent-output,8,7,128,16777216,931,32,79031885824
concurrent-output,16,7,128,16777216,672,32,78954225664
concurrent-output,32,7,128,16777216,364,32,79233351680
concurrent-output,1,8,256,16777216,3187,32,79092297728
concurrent-output,2,8,256,16777216,2396,32,78984609792
concurrent-output,4,8,256,16777216,1451,32,79144214528
concurrent-output,8,8,256,16777216,924,32,79064494080
concurrent-output,16,8,256,16777216,486,32,78921142272
concurrent-output,32,8,256,16777216,379,32,78836666368
concurrent-output,1,9,512,16777216,3648,32,78730211328
concurrent-output,2,9,512,16777216,2278,32,78883639296
concurrent-output,4,9,512,16777216,1496,32,79020818432
concurrent-output,8,9,512,16777216,870,32,78943920128
concurrent-output,16,9,512,16777216,476,32,78521057280
concurrent-output,32,9,512,16777216,316,32,78424006656
concurrent-output,1,10,1024,16777216,3242,32,78333149184
concurrent-output,2,10,1024,16777216,2383,32,78227103744
concurrent-output,4,10,1024,16777216,1517,32,78450614272
concurrent-output,8,10,1024,16777216,844,32,78717607936
concurrent-output,16,10,1024,16777216,436,32,78665457664
concurrent-output,32,10,1024,16777216,269,32,78592819200
concurrent-output,1,11,2048,16777216,4042,32,78557306880
concurrent-output,2,11,2048,16777216,2444,32,78705238016
concurrent-output,4,11,2048,16777216,1620,32,78750191616
concurrent-output,8,11,2048,16777216,788,32,78744043520
concurrent-output,16,11,2048,16777216,433,32,78700404736
concurrent-output,32,11,2048,16777216,247,32,78633701376
concurrent-output,1,12,4096,16777216,3676,32,78761500672
concurrent-output,2,12,4096,16777216,2274,32,78750224384
concurrent-output,4,12,4096,16777216,1496,32,78914502656
concurrent-output,8,12,4096,16777216,803,32,79062908928
concurrent-output,16,12,4096,16777216,460,32,78748819456
concurrent-output,32,12,4096,16777216,256,32,78669107200
concurrent-output,1,13,8192,16777216,3769,32,78550212608
concurrent-output,2,13,8192,16777216,2269,32,78634471424
concurrent-output,4,13,8192,16777216,1354,32,78795436032
concurrent-output,8,13,8192,16777216,731,32,79010750464
concurrent-output,16,13,8192,16777216,441,32,79155064832
concurrent-output,32,13,8192,16777216,245,32,79024164864
concurrent-output,1,14,16384,16777216,3805,32,78963220480
concurrent-output,2,14,16384,16777216,2256,32,79050833920
concurrent-output,4,14,16384,16777216,1343,32,79210373120
concurrent-output,8,14,16384,16777216,850,32,79342223360
concurrent-output,16,14,16384,16777216,441,32,79437676544
concurrent-output,32,14,16384,16777216,248,32,79337254912
concurrent-output,1,15,32768,16777216,3855,32,79113850880
concurrent-output,2,15,32768,16777216,2276,32,79173607424
concurrent-output,4,15,32768,16777216,1370,32,79196753920
concurrent-output,8,15,32768,16777216,759,32,79106510848
concurrent-output,16,15,32768,16777216,389,32,79272394752
concurrent-output,32,15,32768,16777216,240,32,79466323968
concurrent-output,1,16,65536,16777216,3935,32,79311384576
